structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
ligand_efficiency,ARHGAP29 (9411),0.9823327507733915,0.9829334199423597,0.0006006691689681709,813.7231442761415,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,WFS1 (7466),0.9823327507733915,0.9829775529880052,0.0006448022146136045,875.7746281343623,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,ERRFI1 (54206),0.9823327507733915,0.9828269477747708,0.0004941970013792041,665.33511469205,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,SNX21 (90203),0.9823327507733915,0.9830775203783552,0.0007447696049636132,1017.5266067233135,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,PHLDB1 (23187),0.9823327507733915,0.9837421097545143,0.0014093589811227103,2004.2194375499962,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,NCKAP1 (10787),0.9823327507733915,0.9832079178495664,0.0008751670761748542,1204.9644957602115,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,BCAR1 (9564),0.9823327507733915,0.9842353910350101,0.0019026402616185711,2790.3668873938695,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,IKZF1 (10320),0.9823327507733915,0.9840193738560034,0.0016866230826118045,2440.1250187954674,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,PARVA (55742),0.9823327507733915,0.9831275424507305,0.0007947916773389796,1089.0875574241486,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,CNN3 (1266),0.9823327507733915,0.9839651232202957,0.0016323724469041734,2353.6477074891973,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,CD151 (977),0.9823327507733915,0.9832453875654832,0.0009126367920916367,1259.3644117777012,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,FAM114A1 (92689),0.9823327507733915,0.9834827336990328,0.0011499829256412797,1609.6855712297336,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,PTTG1IP (754),0.9823327507733915,0.9835237453454198,0.0011909945720282034,1671.241133532479,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,GNA11 (2767),0.9823327507733915,0.9837067071181019,0.0013739563447103809,1949.6286551746766,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,TEAD1 (7003),0.9823327507733915,0.9844893131023335,0.0021565623289419023,3214.5398443081185,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,CUEDC1 (404093),0.9823327507733915,0.9841338738459624,0.0018011230725708538,2624.5830288725037,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,BCAR1 (9564),0.9823327507733915,0.9842194306297625,0.0018866798563709208,2764.1612451299643,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,RAPH1 (65059),0.9823327507733915,0.9839035345298243,0.0015707837564327143,2256.179812643553,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,TJP1 (7082),0.9823327507733915,0.984464832343907,0.002132081570515476,3173.0411284608044,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,PTPN7 (5778),0.9823327507733915,0.9841635271884571,0.0018307764150655714,2672.7890244261243,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,ARHGAP29 (9411),0.9823327507733915,0.9833828741866495,0.0010501234132579418,1461.0741705413989,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,WFS1 (7466),0.9823327507733915,0.9840773617753815,0.0017446110019899708,2533.211255383687,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,ERRFI1 (54206),0.9823327507733915,0.9836474053529018,0.0013146545795102993,1858.7150561866138,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,SNX21 (90203),0.9823327507733915,0.9836822777482036,0.0013495269748120542,1912.0967483202896,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,PHLDB1 (23187),0.9823327507733915,0.9839275169572206,0.0015947661838290328,2294.0446769791397,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,NCKAP1 (10787),0.9823327507733915,0.9839993988709104,0.0016666480975188191,2408.216022870538,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,WAS (7454),0.9823327507733915,0.9839672773231674,0.0016345265497758055,2357.070261398722,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,IKZF1 (10320),0.9823327507733915,0.9831760923541806,0.0008433415807890254,1158.9493807454392,1.1102230246251565e-16,1.1937881985216736e-16,True
num_rotatable_bonds,PARVA (55742),0.9823327507733915,0.9844351678496516,0.0021024170762600214,3122.930098673961,1.1102230246251565e-16,1.1937881985216736e-16,True
